OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-07-20T07:31:17.886144,2.00557971,.01203709,54.8480,213.8463,302.8111,139.2018,0,U,26407,999,19061,0,.62E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-07-20T06:19:26.040576,2.00558827,.01483955,54.8784,213.6545,53.1892,129.0086,0,U,27663,999,17197,0,.62E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-07-20T07:19:45.465312,2.00553616,.01173381,54.8023,274.3476,174.5558,190.3314,0,U,28190,999,16361,0,-.51E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-07-19T23:57:46.088640,2.00557373,.01702634,55.1149,323.5747,317.1768,251.2314,0,U,28474,999,15908,0,-.107E-5,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-07-20T06:26:29.652000,2.00563446,.01283048,54.8515,271.8407,296.4784,71.5848,0,U,28874,999,15250,0,-.46E-6,0
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-07-20T06:58:07.330368,1.00271135,.00029242,5.1387,43.6796,61.7327,80.6729,0,U,28899,999,7585,0,-.265E-5,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-07-19T21:57:40.473792,2.00568000,.01073148,54.7131,150.0396,55.2925,316.6645,0,U,29486,999,14505,0,.36E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-07-19T19:50:24.173952,2.00559979,.00847461,54.9319,212.7123,91.0071,269.9911,0,U,29601,999,14406,0,.58E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-07-20T03:10:50.032128,2.00553782,.01679521,54.1195,78.7075,88.1073,273.8731,0,U,32260,999,13747,0,-.64E-6,0
COSMOS 2433 (720),2007-052A,2026-07-17T21:16:46.394976,2.13104037,.0003631,65.5578,314.9006,203.8821,156.1180,0,U,32275,999,14571,0,-.7E-6,0
COSMOS 2432 (719),2007-052B,2026-07-19T10:17:25.948320,2.13103034,.00073737,65.5728,314.9771,321.3714,85.4621,0,U,32276,999,14577,0,-.79E-6,0
